Code;Operator;Country
41201;AWCC;Afghanistan
41240;Areeba;Afghanistan
41250;Etisalat;Afghanistan
41220;Roshan;Afghanistan
27601;AMC;Albania
27603;Eagle Mobile;Albania
27604;Plus Communication;Albania
27602;Vodafone;Albania
60302;Djezzy;Algeria
60301;Mobilis;Algeria
60303;Nedjma;Algeria
54411;Bluesky;American Samoa
21303;Mobiland;Andorra
63104;MOVICEL;Angola
63102;UNITEL;Angola
365840;Cable & Wireless;Anguilla (United Kingdom)
365010;Weblinks Limited;Anguilla (United Kingdom)
344030;APUA;Antigua and Barbuda
344920;bmobile;Antigua and Barbuda
344930;Digicel;Antigua and Barbuda
722310;Claro;Argentina
722320;Claro;Argentina
722330;Claro;Argentina
722350;Hutchinson (PORT HABLE);Argentina
722010;Movistar;Argentina
722070;Movistar;Argentina
722020;Nextel;Argentina
72234;Personal;Argentina
722341;Telecom Personal SA;Argentina
72236;Telecom Personal SA;Argentina
28301;Beeline;Armenia
28310;Orange;Armenia
28305;VivaCell-MTS;Armenia
36302;Digicel;Aruba (Netherlands)
36320;Digicell;Aruba (Netherlands)
36301;SETAR;Aruba (Netherlands)
50506;3;Australia
50512;3;Australia
50515;3GIS;Australia
50514;AAPT;Australia
50524;Advanced Communications Technologies;Australia
50509;Airnet;Australia
50538;Crazy John's;Australia
50504;Department of Defence;Australia
50588;Localstar;Australia
50510;Norfolk Telecom;Australia
50508;One. Tel;Australia
50599;One. Tel;Australia
50502;OPTUS / Virgin Mobile;Australia
50505;Ozitel;Australia
50513;Railcorp;Australia
50521;SOUL;Australia
50501;Telstra;Australia
50511;Telstra;Australia
50571;Telstra;Australia
50572;Telstra;Australia
50516;Victorian Rail Track;Australia
50503;Vodafone;Australia
50507;Vodafone;Australia
50590;YES OPTUS;Australia
23210;3;Austria
23214;3;Austria
23201;A1;Austria
23209;A1;Austria
23215;Barablu;Austria
23211;bob;Austria
23291;GSM-R A;Austria
23205;Orange;Austria
23203;T-Mobile;Austria
23207;T-Mobile;Austria
23212;yesss;Austria
40001;Azercell;Azerbaijan
40002;Bakcell;Azerbaijan
40003;FONEX;Azerbaijan
40004;Nar Mobile;Azerbaijan
364390;BaTelCo;Bahamas
42601;Batelco;Bahrain
42602;MTC-VFBH;Bahrain
42604;VIVA;Bahrain
47002;Aktel;Bangladesh
47003;Banglalink;Bangladesh
47005;Citycell;Bangladesh
47006;Citycell;Bangladesh
47001;Grameenphone;Bangladesh
47004;TeleTalk;Bangladesh
47007;Warid;Bangladesh
342600;bmobile;Barbados
342750;Digicel;Barbados
342820;Sunbeach Communications;Barbados
257501;BelCel JV;Belarus
25703;DIALLOG;Belarus
25704;life:);Belarus
25702;MTS;Belarus
25701;Velcom;Belarus
20620;BASE;Belgium
20610;Mobistar;Belgium
20601;Proximus;Belgium
20605;Telenet;Belgium
70267;Belize Telemedia;Belize
70268;International Telecommunications Ltd.;Belize
70299;Smart;Belize
61603;Areeba;Benin
61600;BBCOM;Benin
61604;BBCOM;Benin
61605;Glo;Benin
61601;Libercom;Benin
61602;Telecel;Benin
31038;Digicel;Bermudas
35001;Digicel Bermuda;Bermudas
35002;Mobility;Bermudas
40211;B-Mobile;Bhutan
40277;TashiCell;Bhutan
73602;Entel;Bolivia
73601;Nuevatel;Bolivia
73603;Tigo;Bolivia
21890;BH Mobile;Bosnia and Herzegovina
21803;ERONET;Bosnia and Herzegovina
21805;m:tel;Bosnia and Herzegovina
65204;BTC Mobile;Botswana
65201;Mascom;Botswana
65202;Orange;Botswana
72437;aiou;Brazil
72424;Amazonia Celular;Brazil
72416;Brasil Telecom;Brazil
72405;Claro;Brazil
72432;CTBC Cellular;Brazil
72433;CTBC Cellular;Brazil
72434;CTBC Cellular;Brazil
72407;CTBC Celular;Brazil
72400;Nextel;Brazil
72439;Nextel;Brazil
72415;Sercomtel;Brazil
72402;TIM;Brazil
72403;TIM;Brazil
72404;TIM;Brazil
72408;TIM;Brazil
72431;TNL PCS;Brazil
72406;Vivo;Brazil
72410;Vivo;Brazil
72411;Vivo;Brazil
72423;Vivo;Brazil
348170;Cable & Wireless;British Virgin Islands (United Kingdom)
348570;Caribbean Cellular Telephone;British Virgin Islands (United Kingdom)
348770;Digicel;British Virgin Islands (United Kingdom)
52802;B-Mobile;Brunei
52811;DTSCom;Brunei
52801;Jabatan Telekom;Brunei
28405;GLOBUL;Bulgaria
28401;M-Tel;Bulgaria
28404;Undisclosed;Bulgaria
28403;Vivatel;Bulgaria
61301;Onatel;Burkina Faso
61303;Telecel Faso;Burkina Faso
61302;Zain;Burkina Faso
64202;Africell;Burundi
64208;HiTs Telecom;Burundi
64207;Smart Mobile;Burundi
64201;Spacetel;Burundi
64203;Telecel;Burundi
64282;U-COM Burundi;Burundi
45609;Beeline;Cambodia
45618;Camshin / Shinawatra;Cambodia
45611;Excell;Cambodia
45602;hello;Cambodia
45608;Metfone;Cambodia
45601;Mobitel;Cambodia
45604;qb;Cambodia
45603;S Telecom;Cambodia
45606;Smart Mobile;Cambodia
45605;Star-Cell;Cambodia
62401;MTN Cameroon;Cameroon
62402;Orange;Cameroon
302290;Airtel Wireless;Canada
302652;BC Tel Mobility;Canada
302610;Bell;Canada
302640;Bell;Canada
302880;Bell / Telus / SaskTel;Canada
302651;Bell Mobility;Canada
302380;DMTS;Canada
302370;Fido;Canada
302350;FIRST;Canada
302710;Globalstar;Canada
302620;ICE Wireless;Canada
302701;MB Tel Mobility;Canada
302320;Mobilicity;Canada
302702;MT&T Mobility;Canada
302660;MTS;Canada
302655;MTS Mobility;Canada
302703;New Tel Mobility;Canada
302720;Rogers Wireless;Canada
302654;Sask Tel Mobility;Canada
302680;SaskTel;Canada
302780;SaskTel;Canada
302656;Tbay Mobility;Canada
302220;Telus;Canada
302221;Telus;Canada
302657;Telus (Quebec) Mobility;Canada
302360;Telus Mobility;Canada
302361;Telus Mobility;Canada
302653;Telus Mobility;Canada
302500;Videotron;Canada
302510;Videotron;Canada
302490;WIND Mobile;Canada
62501;CVMOVEL;Cape Verde
62502;T+;Cape Verde
346140;Cable & Wireless;Cayman Islands (United Kingdom)
346050;Digicel;Cayman Islands (United Kingdom)
62301;CTP;Central African Republic
62304;Nationlink;Central African Republic
62303;Orange;Central African Republic
62302;TC;Central African Republic
73003;Claro;Chile
73001;Entel;Chile
73010;Entel;Chile
73002;movistar;Chile
73004;Nextel;Chile
73008;VTR Móvil;Chile
73099;Will;Chile
46006;(unknown);China
46000;China Mobile;China
46002;China Mobile;China
46007;China Mobile;China
46003;China Telecom;China
46005;China Telecom;China
46020;China Tietong;China
46001;China Unicom;China
732001;Colombia Telecomunicaciones S.A. - Telecom;Colombia
732101;Comcel;Colombia
732002;Edatel;Colombia
732102;movistar;Colombia
732123;movistar;Colombia
732103;Tigo;Colombia
732111;Tigo;Colombia
65401;HURI - SNPT;Comoros
54801;Telecom Cook;Cook Islands
71201;ICE;Costa Rica
71202;ICE;Costa Rica
71203;ICE;Costa Rica
71204;movistar;Costa Rica
61201;Cora de Comstar;Cote d'Ivoire
61204;KoZ;Cote d'Ivoire
61202;Moov;Cote d'Ivoire
61205;MTN;Cote d'Ivoire
61203;Orange;Cote d'Ivoire
61206;ORICEL;Cote d'Ivoire
21901;T-Mobile;Croatia
21902;Tele2;Croatia
21910;VIPnet;Croatia
36801;ETECSA;Cuba
28001;Cytamobile-Vodafone;Cyprus
28010;MTN;Cyprus
62204;Salam;Czad
62202;TAWALI;Czad
62203;TIGO - Millicom;Czad
62201;Zain;Czad
23002;EUROTEL PRAHA;Czech Republic
23003;OSKAR;Czech Republic
